age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
adult,65,1,2024-06-26T18:11:33.891289Z,angry_faces,male,164,/Users/almamidany/Desktop/labeled/angry_faces/image0000035.jpg,4.999,2024-06-26T18:11:33.891313Z
adult,68,1,2024-06-26T18:11:50.405364Z,angry_faces,female,167,/Users/almamidany/Desktop/labeled/angry_faces/image0000132.jpg,5.964,2024-06-26T18:11:50.405390Z
adult,63,1,2024-06-26T18:11:22.673716Z,angry_faces,male,168,/Users/almamidany/Desktop/labeled/angry_faces/image0000288.jpg,4.516,2024-06-26T18:11:22.673740Z
adult,73,1,2024-06-26T18:13:22.184138Z,angry_faces,female,173,/Users/almamidany/Desktop/labeled/angry_faces/image0000390.jpg,3.979,2024-06-26T18:13:22.184162Z
adult,77,1,2024-06-26T18:13:41.050025Z,angry_faces,male,177,/Users/almamidany/Desktop/labeled/angry_faces/image0000540.jpg,3.978,2024-06-26T18:13:41.050052Z
adult,78,1,2024-06-26T18:13:45.569170Z,angry_faces,male,178,/Users/almamidany/Desktop/labeled/angry_faces/image0000546.jpg,4.367,2024-06-26T18:13:45.569193Z
adult,80,1,2024-06-26T18:13:54.652778Z,angry_faces,male,180,/Users/almamidany/Desktop/labeled/angry_faces/image0000602.jpg,4.197,2024-06-26T18:13:54.652801Z
adult,81,1,2024-06-26T18:13:58.615661Z,angry_faces,male,181,/Users/almamidany/Desktop/labeled/angry_faces/image0000643.jpg,3.81,2024-06-26T18:13:58.615686Z
adult,82,1,2024-06-26T18:14:02.783998Z,angry_faces,female,182,/Users/almamidany/Desktop/labeled/angry_faces/image0000697.jpg,4.019,2024-06-26T18:14:02.784024Z
adult,84,1,2024-06-26T18:14:13.035824Z,angry_faces,male,184,/Users/almamidany/Desktop/labeled/angry_faces/image0000776.jpg,5.599,2024-06-26T18:14:13.035852Z
adult,87,1,2024-06-26T18:14:25.733460Z,angry_faces,male,187,/Users/almamidany/Desktop/labeled/angry_faces/image0000932.jpg,4.179,2024-06-26T18:14:25.733486Z
adult,88,1,2024-06-26T18:17:27.602947Z,angry_faces,female,188,/Users/almamidany/Desktop/labeled/angry_faces/image0000965.jpg,181.703,2024-06-26T18:17:27.602975Z
adult,89,1,2024-06-26T18:17:32.459755Z,angry_faces,male,189,/Users/almamidany/Desktop/labeled/angry_faces/image0000972.jpg,4.684,2024-06-26T18:17:32.459781Z
adult,92,1,2024-06-26T18:17:45.091064Z,angry_faces,male,192,/Users/almamidany/Desktop/labeled/angry_faces/image0001152.jpg,4.323,2024-06-26T18:17:45.091089Z
adult,95,1,2024-06-26T18:17:57.374715Z,angry_faces,male,195,/Users/almamidany/Desktop/labeled/angry_faces/image0001244.jpg,4.28,2024-06-26T18:17:57.374758Z
adult,96,1,2024-06-26T18:18:02.718406Z,angry_faces,male,196,/Users/almamidany/Desktop/labeled/angry_faces/image0001258.jpg,5.145,2024-06-26T18:18:02.718452Z
adult,97,1,2024-06-26T18:18:07.376366Z,angry_faces,male,197,/Users/almamidany/Desktop/labeled/angry_faces/image0001283.jpg,4.48,2024-06-26T18:18:07.376391Z
adult,98,1,2024-06-26T18:18:11.724710Z,angry_faces,male,198,/Users/almamidany/Desktop/labeled/angry_faces/image0001336.jpg,4.182,2024-06-26T18:18:11.724735Z
adult,99,1,2024-06-26T18:18:15.657302Z,angry_faces,male,199,/Users/almamidany/Desktop/labeled/angry_faces/image0001365.jpg,3.763,2024-06-26T18:18:15.657327Z
