age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
senior,62,1,2024-06-26T18:11:18.001178Z,angry_faces,male,162,/Users/almamidany/Desktop/labeled/angry_faces/image0000007.jpg,32.997,2024-06-26T18:11:18.001201Z
adult,65,1,2024-06-26T18:11:33.891289Z,angry_faces,male,164,/Users/almamidany/Desktop/labeled/angry_faces/image0000035.jpg,4.999,2024-06-26T18:11:33.891313Z
teenager,67,1,2024-06-26T18:11:44.290881Z,angry_faces,male,166,/Users/almamidany/Desktop/labeled/angry_faces/image0000068.jpg,5.517,2024-06-26T18:11:44.290904Z
adult,63,1,2024-06-26T18:11:22.673716Z,angry_faces,male,168,/Users/almamidany/Desktop/labeled/angry_faces/image0000288.jpg,4.516,2024-06-26T18:11:22.673740Z
senior,69,1,2024-06-26T18:12:53.892655Z,angry_faces,male,169,/Users/almamidany/Desktop/labeled/angry_faces/image0000294.jpg,10.485,2024-06-26T18:12:53.892734Z
senior,70,1,2024-06-26T18:13:09.521743Z,angry_faces,male,170,/Users/almamidany/Desktop/labeled/angry_faces/image0000333.jpg,4.657,2024-06-26T18:13:09.521768Z
senior,74,1,2024-06-26T18:13:28.254670Z,angry_faces,male,174,/Users/almamidany/Desktop/labeled/angry_faces/image0000399.jpg,5.915,2024-06-26T18:13:28.254696Z
teenager,75,1,2024-06-26T18:13:32.484758Z,angry_faces,male,175,/Users/almamidany/Desktop/labeled/angry_faces/image0000450.jpg,4.079,2024-06-26T18:13:32.484783Z
senior,76,1,2024-06-26T18:13:36.921780Z,angry_faces,male,176,/Users/almamidany/Desktop/labeled/angry_faces/image0000470.jpg,4.283,2024-06-26T18:13:36.921805Z
adult,77,1,2024-06-26T18:13:41.050025Z,angry_faces,male,177,/Users/almamidany/Desktop/labeled/angry_faces/image0000540.jpg,3.978,2024-06-26T18:13:41.050052Z
adult,78,1,2024-06-26T18:13:45.569170Z,angry_faces,male,178,/Users/almamidany/Desktop/labeled/angry_faces/image0000546.jpg,4.367,2024-06-26T18:13:45.569193Z
child,79,1,2024-06-26T18:13:50.300196Z,angry_faces,male,179,/Users/almamidany/Desktop/labeled/angry_faces/image0000593.jpg,4.581,2024-06-26T18:13:50.300220Z
adult,80,1,2024-06-26T18:13:54.652778Z,angry_faces,male,180,/Users/almamidany/Desktop/labeled/angry_faces/image0000602.jpg,4.197,2024-06-26T18:13:54.652801Z
adult,81,1,2024-06-26T18:13:58.615661Z,angry_faces,male,181,/Users/almamidany/Desktop/labeled/angry_faces/image0000643.jpg,3.81,2024-06-26T18:13:58.615686Z
adult,84,1,2024-06-26T18:14:13.035824Z,angry_faces,male,184,/Users/almamidany/Desktop/labeled/angry_faces/image0000776.jpg,5.599,2024-06-26T18:14:13.035852Z
child,85,1,2024-06-26T18:14:17.333348Z,angry_faces,male,185,/Users/almamidany/Desktop/labeled/angry_faces/image0000813.jpg,4.135,2024-06-26T18:14:17.333373Z
senior,86,1,2024-06-26T18:14:21.400201Z,angry_faces,male,186,/Users/almamidany/Desktop/labeled/angry_faces/image0000923.jpg,3.913,2024-06-26T18:14:21.400225Z
adult,87,1,2024-06-26T18:14:25.733460Z,angry_faces,male,187,/Users/almamidany/Desktop/labeled/angry_faces/image0000932.jpg,4.179,2024-06-26T18:14:25.733486Z
adult,89,1,2024-06-26T18:17:32.459755Z,angry_faces,male,189,/Users/almamidany/Desktop/labeled/angry_faces/image0000972.jpg,4.684,2024-06-26T18:17:32.459781Z
adult,92,1,2024-06-26T18:17:45.091064Z,angry_faces,male,192,/Users/almamidany/Desktop/labeled/angry_faces/image0001152.jpg,4.323,2024-06-26T18:17:45.091089Z
child,93,1,2024-06-26T18:17:48.994232Z,angry_faces,male,193,/Users/almamidany/Desktop/labeled/angry_faces/image0001161.jpg,3.745,2024-06-26T18:17:48.994258Z
child,94,1,2024-06-26T18:17:52.940548Z,angry_faces,male,194,/Users/almamidany/Desktop/labeled/angry_faces/image0001228.jpg,3.794,2024-06-26T18:17:52.940573Z
adult,95,1,2024-06-26T18:17:57.374715Z,angry_faces,male,195,/Users/almamidany/Desktop/labeled/angry_faces/image0001244.jpg,4.28,2024-06-26T18:17:57.374758Z
adult,96,1,2024-06-26T18:18:02.718406Z,angry_faces,male,196,/Users/almamidany/Desktop/labeled/angry_faces/image0001258.jpg,5.145,2024-06-26T18:18:02.718452Z
adult,97,1,2024-06-26T18:18:07.376366Z,angry_faces,male,197,/Users/almamidany/Desktop/labeled/angry_faces/image0001283.jpg,4.48,2024-06-26T18:18:07.376391Z
adult,98,1,2024-06-26T18:18:11.724710Z,angry_faces,male,198,/Users/almamidany/Desktop/labeled/angry_faces/image0001336.jpg,4.182,2024-06-26T18:18:11.724735Z
adult,99,1,2024-06-26T18:18:15.657302Z,angry_faces,male,199,/Users/almamidany/Desktop/labeled/angry_faces/image0001365.jpg,3.763,2024-06-26T18:18:15.657327Z
adult,102,1,2024-06-26T18:18:32.357544Z,angry_faces,male,202,/Users/almamidany/Desktop/labeled/angry_faces/image0001765.jpg,4.478,2024-06-26T18:18:32.357569Z
adult,103,1,2024-06-26T18:18:36.629258Z,angry_faces,male,203,/Users/almamidany/Desktop/labeled/angry_faces/image0001933.jpg,4.109,2024-06-26T18:18:36.629288Z
adult,104,1,2024-06-26T18:18:41.241383Z,angry_faces,male,204,/Users/almamidany/Desktop/labeled/angry_faces/image0002156.jpg,4.436,2024-06-26T18:18:41.241409Z
senior,105,1,2024-06-26T18:18:45.907791Z,angry_faces,male,205,/Users/almamidany/Desktop/labeled/angry_faces/image0002243.jpg,4.483,2024-06-26T18:18:45.907822Z
teenager,106,1,2024-06-26T18:18:49.956074Z,angry_faces,male,206,/Users/almamidany/Desktop/labeled/angry_faces/image0002444.jpg,3.887,2024-06-26T18:18:49.956099Z
senior,107,1,2024-06-26T18:18:54.855834Z,angry_faces,male,207,/Users/almamidany/Desktop/labeled/angry_faces/image0002491.jpg,4.6,2024-06-26T18:18:54.855860Z
senior,108,1,2024-06-26T18:18:59.706970Z,angry_faces,male,208,/Users/almamidany/Desktop/labeled/angry_faces/image0002520.jpg,4.668,2024-06-26T18:18:59.706995Z
senior,110,1,2024-06-26T18:19:10.937376Z,angry_faces,male,210,/Users/almamidany/Desktop/labeled/angry_faces/image0002685.jpg,5.008,2024-06-26T18:19:10.937403Z
senior,111,1,2024-06-26T18:19:15.862902Z,angry_faces,male,211,/Users/almamidany/Desktop/labeled/angry_faces/image0002928.jpg,4.751,2024-06-26T18:19:15.862928Z
adult,112,1,2024-06-26T18:19:24.672282Z,angry_faces,male,212,/Users/almamidany/Desktop/labeled/angry_faces/image0003039.jpg,8.546,2024-06-26T18:19:24.672307Z
teenager,113,1,2024-06-26T18:19:33.854416Z,angry_faces,male,213,/Users/almamidany/Desktop/labeled/angry_faces/image0003116.jpg,8.996,2024-06-26T18:19:33.854442Z
adult,114,1,2024-06-26T18:19:37.687187Z,angry_faces,male,214,/Users/almamidany/Desktop/labeled/angry_faces/image0003161.jpg,3.678,2024-06-26T18:19:37.687215Z
